Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,tag
0.711,0.7,1,-4.805,0.046,0.00498,0.000125,0.215,0.801,128.001,energ
0.545,0.78,7,-4.867,0.0436,0.0309,4.64E-05,0.0828,0.458,125.014,energ
0.742,0.878,9,-3.127,0.128,0.000758,8.88E-05,0.286,0.564,114.965,energ
0.617,0.906,1,-4.822,0.0311,0.000451,0,0.0716,0.807,119.016,energ
0.623,0.734,9,-5.95,0.107,0.0162,1.90E-06,0.145,0.372,107.853,energ
0.654,0.655,11,-7.388,0.106,0.0294,0,0.139,0.221,170.16,energ
0.672,0.655,10,-5.021,0.0311,0.0362,0,0.117,0.556,134.945,energ
0.667,0.858,2,-2.268,0.0926,0.0367,1.47E-05,0.325,0.641,133.039,energ
0.794,0.793,11,-4.521,0.0842,0.0125,0,0.0952,0.677,123.941,energ
0.587,0.828,11,-5.108,0.161,0.00327,0,0.331,0.494,123.907,energ
0.401,0.872,1,-3.641,0.314,0.167,0,0.362,0.472,104.592,energ
0.703,0.747,0,-4.446,0.0895,0.283,0,0.396,0.7,149.974,energ
0.602,0.843,0,-4.831,0.0593,0.000688,5.27E-05,0.0682,0.526,128.003,energ
0.52,0.849,9,-3.794,0.186,0.00253,0,0.119,0.774,175.908,energ
0.645,0.741,5,-4.989,0.0339,0.0323,0,0.29,0.534,123.07,energ
0.583,0.768,9,-6.477,0.041,0.000323,0.0162,0.109,0.357,127.952,energ
0.629,0.793,9,-5.942,0.0346,0.00952,1.15E-06,0.218,0.588,95.981,energ
0.673,0.758,7,-3.632,0.158,0.039,0,0.341,0.542,135.956,energ
0.737,0.636,11,-4.546,0.0437,0.0441,6.66E-05,0.35,0.565,105.005,energ
0.623,0.641,10,-3.987,0.0462,0.0841,1.09E-06,0.06,0.735,185.888,energ
0.666,0.796,10,-6.967,0.103,0.0492,0,0.0442,0.61,110.108,energ
0.727,0.832,9,-4.327,0.0366,0.181,0,0.0615,0.213,127.035,energ
0.672,0.855,9,-3.764,0.0397,0.021,0,0.323,0.646,123.056,energ
0.722,0.761,11,-4.459,0.0475,0.0117,0,0.315,0.624,128.044,energ
0.755,0.837,2,-2.718,0.142,0.0991,0,0.289,0.714,120.028,energ
0.568,0.817,9,-4.049,0.147,0.205,3.46E-05,0.123,0.352,105.912,energ
0.726,0.698,5,-4.165,0.0431,0.049,0,0.309,0.867,143.994,energ
0.559,0.682,9,-5.762,0.0334,0.0203,0,0.126,0.498,122.931,energ
0.751,0.783,4,-3.724,0.0859,0.00379,0,0.036,0.816,119.975,energ
0.541,0.787,2,-4.618,0.0331,0.0167,0,0.157,0.2,113,energ
0.614,0.934,9,-3.709,0.07,0.0697,0,0.121,0.436,116.001,energ
0.66,0.805,1,-5.352,0.153,0.0192,8.83E-06,0.159,0.625,103.008,energ
0.561,0.965,7,-3.673,0.0343,0.00383,7.07E-06,0.371,0.304,128.04,energ
0.638,0.878,5,-3.639,0.0484,0.0151,0.000223,0.308,0.481,103.948,energ
0.6,0.905,1,-3.41,0.0357,0.00274,0,0.831,0.636,124.032,energ
0.73,0.777,3,-5.194,0.0496,0.105,0.000478,0.0691,0.575,130,energ
0.46,0.8,1,-3.584,0.05,0.289,6.16E-06,0.121,0.553,102.46,energ
0.645,0.786,1,-5.337,0.0554,0.0343,3.57E-06,0.139,0.597,124.962,energ
0.631,0.927,9,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,energ
0.715,0.791,10,-6.63,0.0414,0.0368,0,0.0694,0.879,116.043,energ
0.765,0.837,1,-3.113,0.032,0.00107,1.06E-05,0.0801,0.721,122.028,energ
0.697,0.643,5,-4.057,0.0601,0.055,8.25E-06,0.806,0.605,98.023,energ
0.757,0.678,8,-5.529,0.233,0.0472,9.14E-06,0.0654,0.82,120.075,energ
0.671,0.916,6,-4.014,0.0397,0.0282,0.00762,0.24,0.803,126.01,energ
0.637,0.732,7,-6.209,0.0965,0.244,0,0.498,0.68,128.108,energ
0.518,0.679,11,-5.406,0.0355,0.079,4.85E-05,0.0588,0.106,132.146,energ
0.676,0.786,1,-4.529,0.0478,0.197,0,0.0943,0.483,125.983,energ
0.658,0.814,1,-6.157,0.0493,0.0398,0,0.114,0.316,109.004,energ
0.68,0.84,9,-3.823,0.0414,0.0457,8.66E-06,0.143,0.468,104.975,energ
0.571,0.815,6,-3.267,0.0321,0.0608,0,0.163,0.664,120.008,energ
0.557,0.944,1,-5.184,0.0784,0.0541,2.12E-06,0.33,0.705,169.9,energ
0.764,0.793,8,-5.466,0.067,0.0281,0.00174,0.317,0.831,123.013,energ
0.563,0.827,8,-5.811,0.323,0.231,0,0.142,0.497,126.177,energ
