Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
02WacdrRpm4zlP8H7X6bnQ,"6ydoSd3N2mwgwBHtF6K7eX","Dancing On My Own","Dancing On My Own","Calum Scott",2016-06-03,260004,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"neo mellow,pop",0.608,0.174,1,-8.796,1,0.0332,0.851,0.0000192,0.0855,0.193,112.175,4
5spWZpluJzzttoFYXPYyZC,"7ucnXVYtvs8GuAxgEI6cIh","Firefly Sonata I","New Century Suite","Michael J. Miles",2005-03-15,206306,20,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-03-21T18:11:20Z,"",0.457,0.423,0,-13.567,0,0.0335,0.968,0.913,0.128,0.645,103.996,4
7D0RhFcb3CrfPuTJ0obrod,"4gzpq5DPGxSnKTe4SA8HAU","Sparks","Parachutes","Coldplay",2000-07-10,227093,84,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-03-09T02:31:24Z,"permanent wave,pop",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3
4L2K7JKseFCBoHMZEAszW0,"2feDdbD5araYcm6JhFHHw7","Jealous","Jealous","Labrinth",2014-11-21,287693,1,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"indie poptimism,pop",0.439,0.153,1,-8.95,1,0.0479,0.874,0,0.107,0.104,116.76,3
0n8LRWtM9q7mjCDC2CpxBp,"1HegIQhNvFdgVa5pwyytdw,69BM7nhWCFi0ijRay0wSTp","WE ARE THE WORLD","WE ARE THE WORLD","Chris Black,NaderBeats",2023-03-05,197598,19,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-03-21T18:11:39Z,"",0.527,0.537,0,-5.637,0,0.0705,0.531,0,0.116,0.219,129.882,4
7vRriwrloYVaoAe3a9wJHe,"3iri9nBFs9e4wN7PLIetAw,1QRj3hoop9Mv5VvHQkwPEp","i hate u, i love u (feat. olivia o'brien)","us","gnash,Olivia O'Brien",2016-03-25,251033,76,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"alt z,pop,dance pop,post-teen pop",0.492,0.275,6,-13.4,0,0.3,0.687,0,0.101,0.18,92.6,4
4u6aLGM52LqGVLMng0zhWz,"7sSeHUJsTBMjMcklfoQRCF","Snowfall","Snowfall","Yung Perkocet",2023-01-27,156000,30,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-03-02T15:49:20Z,"",0.771,0.195,6,-12.375,0,0.0436,0.827,0.472,0.0956,0.187,139.841,4
6soW9pvcXoYrnyVmTC9ErH,"58MLl9nC29IXbE4nEtuoP2","Little Do You Know","Little Do You Know","Alex & Sierra",2014,185200,53,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"neo mellow,pop,post-teen pop,viral pop",0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,4
5xoD9qOyU0E12GLpO5JCu5,"4dhsP3ERolY04Ah68t04bh","Second Chair","The Living Daylights","Gary Alven Edwards",2023-02-07,208000,30,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-03-02T15:49:37Z,"",0.73,0.319,7,-14.623,0,0.0293,0.362,0.000341,0.125,0.628,120.043,4
06lEEwDNIo9vfel8GcsEHV,"1HbXE6X9zZ7qZTiZDgEpvh,35V85QUB0dxx7I4Q6AAc5w,6VwDZ6kAtwpng8gGLHTkVz","Hype off Your Love","Hype off Your Love","Time To Talk,Max Vermeulen,Lindsxy Mesenburg",2021-04-23,181714,45,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"gaming edm",0.663,0.809,2,-7.219,0,0.0366,0.0677,0.0133,0.281,0.385,125.009,4
0tgVpDi06FyKpA1z0VMD4v,"6eUKZXaKkcviH0Ku9w2n3V","Perfect","÷ (Deluxe)","Ed Sheeran",2017-03-03,263400,88,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"pop,uk pop",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
532hQEfkmz9LuTrEkMqCvW,"05TvjXcgQveeF7wh2DBHvp","hollow","hollow","eli.",2023-02-03,129836,41,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-02-03T23:41:41Z,"emo rap,sad lo-fi",0.543,0.229,0,-14.521,1,0.078,0.82,0,0.0636,0.658,120.755,4
2whoe0pPKh4JRn6eWSIqTV,"2wY79sveU1sp5g7SokKOiI","Stay With Me","In The Lonely Hour","Sam Smith",2014-01-01,172723,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"pop,uk pop",0.414,0.419,0,-6.431,1,0.0388,0.55,0.000195,0.11,0.18,84.082,4
61iyAeMVUNu7vIVqedsBFB,"66TrUkUZ3RM29dqeDQRgyA","We Don't Have To Take Our Clothes Off","Feline (Deluxe)","Ella Eyre",2015-08-14,236293,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"dance pop,post-teen pop,tropical house,uk pop",0.565,0.176,0,-9.254,0,0.0419,0.956,0.00000547,0.108,0.301,97.931,3
3a4fcuu8sHjmbLS4crRLm4,"3E0WdrbECMaVd8BQCojfzY","thoughts while we lay","thoughts while we lay","Ca$hrina",2023-02-10,220513,35,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-02-10T16:03:59Z,"",0.721,0.12,7,-11.944,1,0.041,0.561,0.0000615,0.134,0.302,114.776,4
6TL3MOcVW8i1UiJkvhpDbR,"0hEurMDQu99nJRq8pTxO14","Carry Me Away","Carry Me Away","John Mayer",2019-09-06,159134,0,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2021-04-23T17:48:55Z,"neo mellow,singer-songwriter",0.674,0.711,4,-6.671,1,0.0286,0.00894,0.163,0.1,0.742,119.987,4
2hWd8j71kfRe5zurFOC4BA,"6iiU3IIBzaoys7VTEpAgkh","Jealousy","Jealousy","Jeff Hartman",2023-01-09,211200,31,spotify:user:7f1j4abfv0zmg2xw496yadvf2,2023-02-03T05:43:33Z,"",0.688,0.927,2,-2.283,0,0.0337,0.0776,0,0.0673,0.91,150.015,4
