Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0L3XCv9i9IHs8cJEVhsJ3J,"1LZEQNv7sE11VDY3SdxQeN,0GG2cWaonE4JPrjcCCQ1EG","More Than A Woman - SG's Paradise Edit","More Than A Woman (SG's Paradise Edit)","Bee Gees,SG Lewis",2021-06-25,357936,66,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"disco,mellow gold,soft rock,edm,indie soul,new french touch,uk dance",0.679,0.762,10,-4.253,0,0.0316,0.00469,0.23,0.0446,0.511,105.407,4
3L4jHpBf2gil2kUYFcYVxO,"31sy2Lzz49t83efKMvk3qV","It's So Simple","It's So Simple","Mizmo",2023-03-21,154109,31,spotify:user:electropos%C3%A9,2023-03-21T08:56:04Z,"new french touch",0.716,0.896,5,-5.976,1,0.0591,0.0169,0.00036,0.0957,0.33,120.106,4
4nK5YrxbMGZstTLbvj6Gxw,"0Cp8WN4V8Tu4QJQwCN5Md4,6sHCvZe1PHrOAuYlwTLNH4","Supalonely","STELLA & STEVE","BENEE,Gus Dapperton",2019-11-15,223480,69,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"alt z,nz pop,pop,bedroom pop,indie pop,indie poptimism",0.863,0.631,7,-4.689,1,0.0534,0.305,0.0000304,0.123,0.817,128.977,4
4SMvzsQDI2SNHDwfcWM7kr,"60fosQLJjKs0sFcKEYKdzG","Forever","Forever","Xad",2022-03-08,182361,50,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.695,0.505,6,-9.036,0,0.111,0.828,0.104,0.0985,0.479,107.983,4
0brBOx8ejPXvBYnQkWquYK,"6eJa3zG1QZLRB3xgRuyxbm","Close To You","Harmony House","Dayglow",2021-05-21,194693,17,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"austindie,indie rock,modern rock",0.875,0.649,6,-5.754,1,0.0433,0.429,0.00237,0.0704,0.833,140.031,4
1uMHCAyGmHqyygoNRuo7MV,"41X1TR6hrK8Q2ZCpp2EqCz,2IDLDx25HU1nQMKde4n61a","edamame (feat. Rich Brian)","edamame (feat. Rich Brian)","bbno$,Rich Brian",2021-07-24,133706,72,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"canadian hip hop,dark trap,vapor trap,indonesian hip hop",0.815,0.848,4,-4.704,0,0.115,0.023,0.000162,0.0265,0.684,106.032,4
36JXKRIYkJqJqGQRswwKvT,"51Ock9P3RhPvj5ifS0iOuh,7tiOyhvxRgmYnPfxYgm0kX","Satisfaction","Satisfaction","Subriser,Victor Marc",2022-06-28,181500,59,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.739,0.494,6,-11.595,1,0.113,0.219,0.000024,0.16,0.505,120.069,4
5rZrM1ppBHmHogxLcw8wtH,"2kCO8LXN1usaOPL3iEE28I","TWO SUGARS","HDTV","Tai Verdes",2022-09-16,175613,57,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"modern indie pop,pop",0.674,0.907,11,-4.94,0,0.327,0.192,0,0.31,0.586,154.933,4
6UelLqGlWMcVH1E5c4H7lY,"6KImCVD70vtIoJWnq6nGn3","Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,87,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"pop",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
29hvDT8LFAr0wMG8j3LJUr,"3HqP3nd8WI0VfHRhApPlan","Sunset Memories","Sunset Memories","Trinix",2022-10-28,184824,60,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"bass trap,new french touch,tropical house",0.632,0.782,11,-7.445,1,0.0366,0.187,0.146,0.0936,0.372,120.074,4
05nKsnLJGrsDwQIXAExTQt,"1lc8mnyGrCLtPhCoWjRxjM,2kTZfKGZEj8R76z3ooKOF1","Heavy (feat. Your Smith)","Heavy (feat. Your Smith)","Flight Facilities,Your Smith",2021-11-01,202320,44,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"alternative dance,aussietronica,australian dance,edm,indie soul,nu disco,indie pop,minneapolis indie",0.708,0.72,10,-8.648,0,0.0282,0.00661,0.0143,0.191,0.523,115.998,4
5AQgWo2iZ0JCJkyxRHAtT2,"4pw9tq7xIe5cZLPS7xivyL,0jWGiEfSygYEYbd423XARv","Feel The Same","Feel The Same","Lvne,EE",2022-07-19,172004,51,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.751,0.593,0,-9.556,1,0.0593,0.0851,0.0387,0.275,0.371,120.989,4
2xXPVOKw75Ouju8Qu4SdIA,"4yvcSjfu4PC0CYQyLy4wSq","I Don't Wanna Talk (I Just Wanna Dance)","Dreamland (+ Bonus Levels)","Glass Animals",2021-09-09,195190,63,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"gauze pop,indietronica,shiver pop",0.703,0.624,7,-6.228,1,0.0364,0.0156,0.0000553,0.299,0.808,131.966,4
0mpkpO26XkXjT5t3vyl8PA,"3HqP3nd8WI0VfHRhApPlan","5th Avenue","5th Avenue","Trinix",2022-04-29,184888,60,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"bass trap,new french touch,tropical house",0.791,0.387,0,-9.6,1,0.159,0.482,0.000109,0.251,0.528,117.05,4
7jqXDgGWkV4w2ctdb2g59o,"4ehtJnVumNf6xzSCDk8aLB,3SYnDj7btg9gFY7ps8m5d5","At Least I Had Fun","At Least I Had Fun","Martin Jensen,RANI",2020-08-14,170613,64,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"dance pop,danish electronic,edm,electro house,pop,pop dance,pop edm,tropical house,dutch pop",0.794,0.706,5,-6.066,0,0.0382,0.198,0,0.0536,0.908,116.032,4
5j76FkZqQnjfLttLy8e9zy,"31sy2Lzz49t83efKMvk3qV,6DP0yD9AqeiK3V57URKt4W","I Just Can't Get Enough","I Just Can't Get Enough","Mizmo,Queen D",2023-02-07,189965,56,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.773,0.687,0,-7.879,1,0.157,0.54,0.00000411,0.163,0.225,110.058,4
4gBkCqlITvat2A3aYPtMqS,"42FzVuyJH8YbkhzWSR2n8E","sunburn","sunburn","almost monday",2022-04-08,173218,63,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"modern indie pop",0.691,0.742,4,-4.544,1,0.0321,0.00372,0,0.495,0.788,111.98,4
3h0tEwAyOCQDa4X8NEcy0Q,"4NTnwCK3RqTBH7TFIQrkfL","Crazy","Crazy","PLÜM",2022-02-11,220000,67,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"new french touch",0.769,0.596,7,-9.359,0,0.0524,0.0487,0.00803,0.204,0.259,105.032,4
6f5ExP43esnvdKPddwKXJH,"5H6xmHXjsq98NLbEjuE29f,1BEUkE2CSUgHTLSBMZdnFB,6AgTAQt8XS6jRWi4sX7w49","Better Days (NEIKED x Mae Muller x Polo G)","Better Days (NEIKED x Mae Muller x Polo G)","NEIKED,Mae Muller,Polo G",2021-09-24,160656,77,spotify:user:electropos%C3%A9,2023-03-20T17:38:58Z,"dance pop,edm,pop,pop dance,scandipop,tropical house,uk contemporary r&b,uk pop,chicago rap,rap",0.717,0.671,0,-5.077,0,0.0337,0.0018,0.00000254,0.0921,0.699,110.054,4
