danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url
0.479,0.332,9,-14.06,0.0292,0.919,0.698,0.15,0.283,85.023,5XZcXfoS6IAiErcvGT2qhx,spotify:track:5XZcXfoS6IAiErcvGT2qhx,https://api.spotify.com/v1/tracks/5XZcXfoS6IAiErcvGT2qhx,https://api.spotify.com/v1/audio-analysis/5XZcXfoS6IAiErcvGT2qhx
0.472,0.308,5,-15.939,0.039,0.981,0.897,0.114,0.798,173.547,0ss80aDB5lOwjleseJxjK5,spotify:track:0ss80aDB5lOwjleseJxjK5,https://api.spotify.com/v1/tracks/0ss80aDB5lOwjleseJxjK5,https://api.spotify.com/v1/audio-analysis/0ss80aDB5lOwjleseJxjK5
0.524,0.345,7,-15.659,0.0261,0.489,0.013,0.342,0.771,106.621,2ZJ28Rm7OXMYJshLtp5uff,spotify:track:2ZJ28Rm7OXMYJshLtp5uff,https://api.spotify.com/v1/tracks/2ZJ28Rm7OXMYJshLtp5uff,https://api.spotify.com/v1/audio-analysis/2ZJ28Rm7OXMYJshLtp5uff
0.162,0.238,0,-16.15,0.0335,0.968,0.883,0.0909,0.156,83.943,4Kq3QGcyQ5KzUxMptJxJhM,spotify:track:4Kq3QGcyQ5KzUxMptJxJhM,https://api.spotify.com/v1/tracks/4Kq3QGcyQ5KzUxMptJxJhM,https://api.spotify.com/v1/audio-analysis/4Kq3QGcyQ5KzUxMptJxJhM
0.62,0.552,7,-10.97,0.0309,0.269,0.957,0.127,0.836,126.056,4ai14vqrn55TQUIsBz0U5A,spotify:track:4ai14vqrn55TQUIsBz0U5A,https://api.spotify.com/v1/tracks/4ai14vqrn55TQUIsBz0U5A,https://api.spotify.com/v1/audio-analysis/4ai14vqrn55TQUIsBz0U5A
0.302,0.276,2,-11.309,0.0302,0.836,0.899,0.0891,0.191,138.107,7BZOm1HguANsGHk4Y0iJfB,spotify:track:7BZOm1HguANsGHk4Y0iJfB,https://api.spotify.com/v1/tracks/7BZOm1HguANsGHk4Y0iJfB,https://api.spotify.com/v1/audio-analysis/7BZOm1HguANsGHk4Y0iJfB
0.368,0.0478,7,-24.734,0.0442,0.981,0.868,0.112,0.179,142.301,6hvJeOs8X1cGW90pBJIq5d,spotify:track:6hvJeOs8X1cGW90pBJIq5d,https://api.spotify.com/v1/tracks/6hvJeOs8X1cGW90pBJIq5d,https://api.spotify.com/v1/audio-analysis/6hvJeOs8X1cGW90pBJIq5d
0.163,0.194,7,-16.41,0.0332,0.929,0.957,0.115,0.0893,94.746,7cx8LQLOL4J1F0WyOehlVc,spotify:track:7cx8LQLOL4J1F0WyOehlVc,https://api.spotify.com/v1/tracks/7cx8LQLOL4J1F0WyOehlVc,https://api.spotify.com/v1/audio-analysis/7cx8LQLOL4J1F0WyOehlVc
0.645,0.19,7,-13.524,0.053,0.886,0.672,0.328,0.765,180.216,2opbrcIZroPsg3c2q4oArT,spotify:track:2opbrcIZroPsg3c2q4oArT,https://api.spotify.com/v1/tracks/2opbrcIZroPsg3c2q4oArT,https://api.spotify.com/v1/audio-analysis/2opbrcIZroPsg3c2q4oArT
0.428,0.0733,3,-23.529,0.0449,0.992,0.887,0.139,0.109,110.314,1PEJMGCo0jGwqMLfmWKJkC,spotify:track:1PEJMGCo0jGwqMLfmWKJkC,https://api.spotify.com/v1/tracks/1PEJMGCo0jGwqMLfmWKJkC,https://api.spotify.com/v1/audio-analysis/1PEJMGCo0jGwqMLfmWKJkC
