danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url
0.289,0.321,10,-8.57,0.0351,0.935,0.0,0.108,0.215,111.647,5t4EMyyTKdL4TKFSVE45pn,spotify:track:5t4EMyyTKdL4TKFSVE45pn,https://api.spotify.com/v1/tracks/5t4EMyyTKdL4TKFSVE45pn,https://api.spotify.com/v1/audio-analysis/5t4EMyyTKdL4TKFSVE45pn
0.272,0.154,7,-18.672,0.0389,0.921,0.529,0.324,0.0658,101.19,6iCYXIjE5xlQjDYYx8eNNk,spotify:track:6iCYXIjE5xlQjDYYx8eNNk,https://api.spotify.com/v1/tracks/6iCYXIjE5xlQjDYYx8eNNk,https://api.spotify.com/v1/audio-analysis/6iCYXIjE5xlQjDYYx8eNNk
0.231,0.509,7,-10.703,0.0331,0.955,0.903,0.307,0.0384,72.106,17UXJldxw6BDUxVoDjemkK,spotify:track:17UXJldxw6BDUxVoDjemkK,https://api.spotify.com/v1/tracks/17UXJldxw6BDUxVoDjemkK,https://api.spotify.com/v1/audio-analysis/17UXJldxw6BDUxVoDjemkK
0.351,0.0712,2,-18.859,0.038,0.99,0.0858,0.0872,0.179,91.281,4OWHXuRFXyp75kxoFKJSO9,spotify:track:4OWHXuRFXyp75kxoFKJSO9,https://api.spotify.com/v1/tracks/4OWHXuRFXyp75kxoFKJSO9,https://api.spotify.com/v1/audio-analysis/4OWHXuRFXyp75kxoFKJSO9
0.294,0.12,3,-18.465,0.0653,0.975,0.919,0.245,0.104,73.816,69byU7RAQ81K6I0aXYRulj,spotify:track:69byU7RAQ81K6I0aXYRulj,https://api.spotify.com/v1/tracks/69byU7RAQ81K6I0aXYRulj,https://api.spotify.com/v1/audio-analysis/69byU7RAQ81K6I0aXYRulj
0.344,0.0165,2,-25.321,0.0406,0.974,0.872,0.0986,0.0777,76.792,73G7UawpirWMSKAA0MwM7N,spotify:track:73G7UawpirWMSKAA0MwM7N,https://api.spotify.com/v1/tracks/73G7UawpirWMSKAA0MwM7N,https://api.spotify.com/v1/audio-analysis/73G7UawpirWMSKAA0MwM7N
0.674,0.18,3,-20.498,0.0453,0.989,0.959,0.0875,0.839,127.996,5GWmvxfxZqPzcZH3PAmo7j,spotify:track:5GWmvxfxZqPzcZH3PAmo7j,https://api.spotify.com/v1/tracks/5GWmvxfxZqPzcZH3PAmo7j,https://api.spotify.com/v1/audio-analysis/5GWmvxfxZqPzcZH3PAmo7j
0.508,0.00063,8,-27.347,0.0986,0.99,0.89,0.143,0.0434,67.827,2f5lSelXtTlgpfo1FTv8gI,spotify:track:2f5lSelXtTlgpfo1FTv8gI,https://api.spotify.com/v1/tracks/2f5lSelXtTlgpfo1FTv8gI,https://api.spotify.com/v1/audio-analysis/2f5lSelXtTlgpfo1FTv8gI
0.711,0.251,2,-18.818,0.0612,0.993,0.962,0.106,0.346,79.141,5AsJU1OXJLde3G500qerq6,spotify:track:5AsJU1OXJLde3G500qerq6,https://api.spotify.com/v1/tracks/5AsJU1OXJLde3G500qerq6,https://api.spotify.com/v1/audio-analysis/5AsJU1OXJLde3G500qerq6
0.262,0.00752,6,-26.494,0.0498,0.991,0.938,0.0951,0.0365,69.633,6qPrQfv569LdJO5a6dpWoI,spotify:track:6qPrQfv569LdJO5a6dpWoI,https://api.spotify.com/v1/tracks/6qPrQfv569LdJO5a6dpWoI,https://api.spotify.com/v1/audio-analysis/6qPrQfv569LdJO5a6dpWoI
0.69,0.319,8,-11.466,0.0327,0.795,0.629,0.129,0.11,109.942,3025pdkIvVrpXeTqZQIEq5,spotify:track:3025pdkIvVrpXeTqZQIEq5,https://api.spotify.com/v1/tracks/3025pdkIvVrpXeTqZQIEq5,https://api.spotify.com/v1/audio-analysis/3025pdkIvVrpXeTqZQIEq5
0.487,0.0278,0,-25.383,0.0344,0.99,0.628,0.0877,0.146,135.95,77rUlZga9O7BOUSoRVSEBQ,spotify:track:77rUlZga9O7BOUSoRVSEBQ,https://api.spotify.com/v1/tracks/77rUlZga9O7BOUSoRVSEBQ,https://api.spotify.com/v1/audio-analysis/77rUlZga9O7BOUSoRVSEBQ
0.406,0.128,8,-14.309,0.0427,0.938,0.697,0.112,0.347,172.317,64tLZ5caSy0ldRJD0S8aNC,spotify:track:64tLZ5caSy0ldRJD0S8aNC,https://api.spotify.com/v1/tracks/64tLZ5caSy0ldRJD0S8aNC,https://api.spotify.com/v1/audio-analysis/64tLZ5caSy0ldRJD0S8aNC
0.425,0.166,9,-15.171,0.0978,0.919,0.000938,0.216,0.831,204.12,2SgTIkeHOQIwuelex6JH51,spotify:track:2SgTIkeHOQIwuelex6JH51,https://api.spotify.com/v1/tracks/2SgTIkeHOQIwuelex6JH51,https://api.spotify.com/v1/audio-analysis/2SgTIkeHOQIwuelex6JH51
0.504,0.281,7,-12.861,0.0376,0.884,0.928,0.276,0.604,76.366,275Ek5CV7O2Fyd5NmYE9fo,spotify:track:275Ek5CV7O2Fyd5NmYE9fo,https://api.spotify.com/v1/tracks/275Ek5CV7O2Fyd5NmYE9fo,https://api.spotify.com/v1/audio-analysis/275Ek5CV7O2Fyd5NmYE9fo
