Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7DEtUcuVDrjKf2VaVwarV5,"42jjk371b9jW9zsmrMls10","Copenhagen Lullaby","Copenhagen Lullabies","Rasmus H Thomsen",2023-01-06,145685,51,spotify:user:,2023-04-03T13:27:55Z,"",0.396,0.0409,5,-25.002,1,0.0401,0.988,0.936,0.102,0.106,113.926,4
7oQaKrNNFpzgGprrD8oirn,"6AoY3GD7zFJmvpJNKRwvqN","Prelude","Silent season","Lydia Barnes",2022-12-23,203978,49,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.384,0.144,3,-26.661,1,0.0356,0.993,0.937,0.0938,0.49,96.222,4
64HEaiLP9VcrJpElxywgRr,"0hMFv0x1eWo999Ri1wl3iA","Tes yeux d'un bleu profond","Tes yeux d'un bleu profond","Maud Parris",2023-01-13,146120,43,spotify:user:,2023-04-03T13:27:55Z,"",0.309,0.0318,0,-28.558,1,0.0444,0.993,0.941,0.133,0.138,75.888,4
4Xj97H1nAC77849DA1Psle,"6QUKLJTU9DWDhcIifnrJjN","January Sky","January Sky","Oscar Legrand",2022-12-30,129000,50,spotify:user:,2023-04-03T13:27:55Z,"",0.368,0.0571,0,-21.341,1,0.0431,0.949,0.903,0.101,0.582,116.56,3
1MoboyfmxM1P6tgpEnnfud,"1JKAaplWralpIuAjbe1ROw","A subtle joy","A subtle joy","Tamara Blake",2022-10-28,179253,61,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.455,0.0559,10,-24.669,1,0.0436,0.99,0.893,0.111,0.415,114.668,1
00PnFrg2QQzPqkeuxGxcz9,"1F1dcgEK9enKnHceBwHFom","Spheroidal","Relaxing Piano (Neoclassical Sessions)","Kalen Elmsley",2022-08-19,184220,61,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.367,0.0221,2,-27.33,1,0.0459,0.996,0.95,0.0709,0.158,103.169,3
2cdLFYUbixZXuZOs5B0HvG,"3zpg5vjPLd2G5hQGaCuTS2","In your arms","Remembrance","Miriam Raye",2022-11-11,169268,44,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.413,0.0604,3,-27.589,1,0.037,0.987,0.967,0.102,0.16,70.782,4
6dzhIRxruUuzbiLF4gqZAz,"5gt4p9v2Omsd6MVkR5Tm54","Chrysalis","Chrysalis","Abel Laloux",2022-11-25,151000,44,spotify:user:,2023-04-03T13:27:55Z,"",0.517,0.0154,3,-27.987,1,0.0787,0.991,0.967,0.13,0.149,112.974,4
0OQWq6Sgbn0L59KfhVYxBT,"4BathNj58pS2EbPPlASeYX","Lost at Sea","Lost at Sea","Alcon Blue",2023-01-06,160140,54,spotify:user:,2023-04-03T13:27:55Z,"",0.271,0.0452,7,-28.549,1,0.0362,0.984,0.934,0.104,0.272,149.538,4
3irfOZS30z0snSh5vOPs2V,"1zQiEG2u3FSEMD9QU0Brxg","Belle Vie De Tous Les Jours","Belle Vie De Tous Les Jours","Baudouin Béringer",2021-10-01,157000,55,spotify:user:,2023-04-03T13:27:55Z,"",0.334,0.0088,0,-25.986,1,0.0525,0.994,0.932,0.111,0.374,83.406,4
14mdXvg5LTzl4gp0ALbGOe,"229hOmb9kFA41wSxNPelAI","Coming Closer","Evenings","Richard Sauzal",2022-10-30,113173,47,spotify:user:,2023-04-03T13:27:55Z,"",0.531,0.00335,4,-30.845,1,0.0725,0.995,0.971,0.0937,0.552,109.005,4
65vrUrnH4gGDVo29SKxe0A,"6w8RoKnxCYlouuGTigZTO6","Two Brothers","Two Brothers","Jon Cossack",2023-03-05,120563,45,spotify:user:,2023-04-03T13:27:55Z,"instrumental lullaby",0.461,0.0118,5,-27.508,0,0.0419,0.995,0.917,0.118,0.263,121.01,4
7kaE0yge2zcyQn1SA6Ectq,"4nUBYLhgaW3B3EuWJgfhma","Thoughts From Above","Thoughts From Above","Kaiteki",2023-01-10,131375,42,spotify:user:,2023-04-03T13:27:55Z,"",0.289,0.0176,8,-30.91,1,0.0334,0.995,0.917,0.103,0.136,174.146,3
1moVWeNCxcuAsECoLcnvJL,"7qHaotpQ8GHMLTbmqOp0s7","Reine de nuit","Reine de nuit","Nadine Allen",2022-12-30,182022,51,spotify:user:,2023-04-03T13:27:55Z,"",0.477,0.026,1,-22.539,1,0.0571,0.995,0.957,0.104,0.0655,73.417,3
2TZetlpje1UuPbMU2heuMR,"6cGebk3cSumbL2uYiLp2tV","Lebensecht","Lebensecht","Luiza Schmidt",2022-12-30,143281,42,spotify:user:,2023-04-03T13:27:55Z,"",0.402,0.0397,0,-29.183,1,0.0346,0.994,0.937,0.103,0.209,67.768,4
1B4V5s8kcjDsxk0S9NZbml,"6c9mrV72IOeJ5imCUK281g","Anemoia","Anemoia","Franz Gordon",2022-12-23,144117,43,spotify:user:,2023-04-03T13:27:55Z,"background music",0.489,0.00954,4,-29.072,0,0.0723,0.995,0.961,0.0925,0.56,59.505,4
03IzOl7tIIWczFpkzCRH7D,"5R719xRQhw9JLnHFM3dC1G","Emonissimo","Emonissimo","Loumi Des Moines",2023-01-13,82334,51,spotify:user:,2023-04-03T13:27:55Z,"",0.472,0.00763,9,-28.08,0,0.0664,0.993,0.952,0.098,0.113,121.349,4
0WXWiXfd4V6MCkBkrUV0NK,"4n1lW38WKgyPEIZowQ3AND","Evening Light","Evening Light","小瀬村晶",2022-09-09,141315,47,spotify:user:,2023-04-03T13:27:55Z,"compositional ambient,j-ambient,japanese classical,japanese piano,neo-classical",0.393,0.0399,8,-27.124,1,0.0469,0.982,0.892,0.109,0.147,123.787,3
0kQMah3gWs9amKOblNUdx7,"18KIEPt8afqad7CPIzsWgV","Perla","Perla","Per Lööf",2022-12-11,132376,44,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.435,0.0304,0,-27.775,0,0.0674,0.978,0.95,0.122,0.223,66.482,3
2tx8VSE18uvJ5SKd5N6kGd,"6Brh18kVDBzXLS2Uu38SuX","An Invitation","An Invitation","Shaunta Coburn",2022-10-21,129889,42,spotify:user:,2023-04-03T13:27:55Z,"",0.48,0.0512,6,-24.76,1,0.0705,0.995,0.966,0.109,0.609,82.538,4
3iTgM3cDPpZCQ4GL1pP0Ss,"6ooqIGgwn5wqQdlFshdBLv","Act Of Reconciling","Act Of Reconciling","Herbe Matin",2022-12-23,143400,65,spotify:user:,2023-04-03T13:27:55Z,"",0.469,0.0029,8,-40.436,1,0.0525,0.992,0.939,0.135,0.509,116.219,4
5hGueE5UZ2PdUI4CD75MyR,"6yBWntJNNKBu66b5Jy6sVg","Mer de rêves","Mer de rêves","India Atanasie",2022-11-04,143307,42,spotify:user:,2023-04-03T13:27:55Z,"",0.456,0.0203,3,-24.086,1,0.0435,0.995,0.946,0.107,0.44,82.939,3
3KuHx15ro3TkRZTi5g261x,"1zCiyHNwt0y29fTHrBvamB","Zu Hause","Zu Hause","Elias Kiefer",2022-12-09,127000,45,spotify:user:,2023-04-03T13:27:55Z,"",0.527,0.13,3,-27.654,1,0.0422,0.993,0.879,0.118,0.663,111.228,4
4mv7yv3xb6CFLUEZ0ndowA,"60HUetND2GEvv5sPhsdujy","Can't Wait","Can't Wait","Maura Huffman",2022-11-18,125656,44,spotify:user:,2023-04-03T13:27:55Z,"",0.474,0.0542,1,-24.837,1,0.087,0.996,0.968,0.104,0.489,73.423,4
1UY1Fr1IExkpYxxxxUWFug,"2Nk5XPyODZYGkTpGPQel2Q","Apricity","Apricity","Miran",2022-12-09,156677,61,spotify:user:,2023-04-03T13:27:55Z,"",0.31,0.0619,0,-26.16,1,0.0495,0.993,0.933,0.108,0.146,70.979,5
2X2suFxascM2QSKOcWJsA1,"2S3Ke4RpuUU2OppAVlC2zf","Unless you leave now","Unless you leave now","Alva Brunel",2022-03-11,150009,47,spotify:user:,2023-04-03T13:27:55Z,"",0.321,0.0327,10,-25.583,1,0.035,0.992,0.976,0.0837,0.184,95.689,3
6DqQMsdAlPbPiVXiAyxpVC,"6W70NZ4bj5yPSfEXH99JYN","marzo 3","marzo 3","Sebastián Voyage",2022-05-13,146636,43,spotify:user:,2023-04-03T13:27:55Z,"",0.394,0.0118,5,-27.989,1,0.0406,0.995,0.912,0.12,0.221,69.746,4
6S1sG03j36YgxCtuZjgfI5,"229hOmb9kFA41wSxNPelAI","Evenings","Evenings","Richard Sauzal",2022-10-30,112152,60,spotify:user:,2023-04-03T13:27:55Z,"",0.527,0.00824,6,-31.547,1,0.0582,0.995,0.95,0.103,0.403,75.814,3
1J2CNuJZnkGyg1UHcwqkBx,"0QDLHVdGZpRfw01CpFIoUZ","Song for a New Beginning","Song for a New Beginning","William Claeson",2022-10-28,168922,49,spotify:user:,2023-04-03T13:27:55Z,"",0.259,0.0251,1,-26.902,1,0.0429,0.994,0.91,0.113,0.0928,67.098,3
3V683fg4xkvLX58ReRRISt,"48J1kuqZgr2pNtsN8BxhZu","Up North","Catching The Light","Salomon Isle",2022-11-21,143008,42,spotify:user:,2023-04-03T13:27:55Z,"",0.594,0.0308,5,-27.629,0,0.0532,0.995,0.956,0.123,0.325,110.407,3
3JxLzqk5HisNeh5I03Mx22,"5DG18ntYAeW551JGpRosX8","Casa luminosa","Casa luminosa","Miguel Pérez",2022-12-09,109565,62,spotify:user:,2023-04-03T13:27:55Z,"",0.355,0.0368,2,-25.302,1,0.0393,0.992,0.937,0.113,0.0492,106.637,4
2xU7HfHYdDO8T4TVRJwvHJ,"6vfIB4LyqkmDQevucWiiif","Al buio con te","Al buio con te","Nicola Conti",2022-09-30,136466,60,spotify:user:,2023-04-03T13:27:55Z,"",0.366,0.0778,10,-25.652,0,0.0521,0.994,0.966,0.109,0.482,81.571,1
18NGWsACj7kLOwiUvUVSux,"6obM7znnjdS04ci0REuXyT","When We Go Walking","When We Go Walking","Randy Oppenheim",2022-11-04,125856,42,spotify:user:,2023-04-03T13:27:55Z,"",0.472,0.0363,2,-25.107,1,0.05,0.996,0.926,0.105,0.309,82.562,4
7rcPhOaF1KJ3dKIZ9baygA,"4mqtOkMvlltg6gGDEVNsN7","Warm Evening Breeze","Warm Evening Breeze","Fileas Aunad",2022-10-28,165500,44,spotify:user:,2023-04-03T13:27:55Z,"",0.497,0.0119,2,-25.252,1,0.0426,0.971,0.949,0.112,0.361,76.151,3
7JZrbwMQNDL0s1UeDoEDwR,"3h4qdlsSNxMXLzlaITwT7o","Tenderly","Tenderly","Jozef De Schutter",2022-10-07,137000,43,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.434,0.00756,9,-26.945,0,0.0389,0.994,0.92,0.0868,0.268,113.557,3
7rBPXnAOCwblAleRuYD79u,"2QVUmJ4ycBEI4k0GbycoA2","Ordinary Day","Ordinary Day","Eirin Nordness",2022-03-10,150242,56,spotify:user:,2023-04-03T13:27:55Z,"",0.436,0.0123,6,-31.018,1,0.0431,0.991,0.969,0.0938,0.226,133.036,4
6FrEmXntHD6IZeM8f0FIJM,"3mznXPzb1gKLmCEFfQqAsb","Final Hour","Final Hour","Rebecca Kruse",2022-11-25,112997,45,spotify:user:,2023-04-03T13:27:55Z,"",0.668,0.0129,0,-26.127,1,0.174,0.995,0.973,0.111,0.555,77.252,3
4qcYE0RRcpEB8ISLnQdYoP,"2rgYNZpfRVo4CwX3Kxybwj","Past Reflections","Past Reflections","Cameron Segal",2022-08-05,139694,49,spotify:user:,2023-04-03T13:27:55Z,"neo-classical",0.511,0.0465,4,-25.711,0,0.0417,0.995,0.956,0.0801,0.31,130.43,4
1Niqti17jYAgEBlHzUEQ02,"4fMFhhP8Sqi3WWiaoOm5QT","the traveler","the traveler & fragile flowers","our distant worlds",2022-10-28,170500,45,spotify:user:,2023-04-03T13:27:55Z,"",0.508,0.0346,2,-30.265,0,0.035,0.993,0.949,0.108,0.175,90.113,4
3aJ8BLnUcoLpBavcg8AM3O,"1R0UpoenE1gqapaTNm9d0f","September Sun","September Sun","Jeroen Granneman",2022-11-18,143451,44,spotify:user:,2023-04-03T13:27:55Z,"",0.38,0.0202,2,-30.807,1,0.0459,0.994,0.851,0.0979,0.517,118.551,4
6NR2SRndDIWZeNzGBwtJBX,"5UZGLyXbAbN3zwH8pMhWmR","Empty Streets","Empty Streets","Livia Irvine",2022-11-04,146374,42,spotify:user:,2023-04-03T13:27:55Z,"",0.315,0.0707,7,-27.941,0,0.0356,0.988,0.942,0.111,0.221,100.92,3
4Be0A7S5hA8MvzB7rbFuHc,"6CLuGSdrVoVKbBkuwjNXOw","Light in the Mist","Light in the Mist","Anna Landström",2022-08-19,240099,42,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.306,0.00806,8,-29.693,1,0.0386,0.985,0.869,0.101,0.324,141.475,4
1FlBxmsJyCXMViFVNYFHv4,"5DN5SSVJ3DYAnbyzARxe6D","Answer","Answer","Ima Rayner",2022-10-21,141628,42,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.445,0.0307,6,-28.352,1,0.0444,0.993,0.921,0.104,0.221,61.735,4
38IQW5WbKIQwSDsMQPMLSk,"0BKBUNSVWwpiLKxZnW497R","Rainbow","Leap Of Faith","Dylan John Sparkes",2022-10-14,176000,62,spotify:user:,2023-04-03T13:27:55Z,"",0.411,0.0235,0,-32.494,1,0.0388,0.994,0.896,0.095,0.177,143.044,3
1TWlhhICPR0UpyIJhxPiEx,"1Yk8xJQxv9RJTKMwKrkPOz","Matin","Matin","Anne Vallayer",2022-02-04,114000,58,spotify:user:,2023-04-03T13:27:55Z,"background piano",0.492,0.138,4,-27.362,1,0.0502,0.991,0.933,0.0893,0.184,114.103,3
0jen5uU56ghIk8EEDAnllp,"5DcRrjwhi3ujuxsTTZoF3f","Tresillo","Tresillo","Nova Olsen",2022-10-02,131812,42,spotify:user:,2023-04-03T13:27:55Z,"",0.454,0.0318,9,-30.202,0,0.0475,0.99,0.935,0.0907,0.445,139.509,3
2rBLJwsNjWvSx0yVAQLc3B,"76OnsMFi0V8EsscskTGEch","Rêvasser","Rêvasser","Lucién",2021-11-05,209250,60,spotify:user:,2023-04-03T13:27:55Z,"",0.374,0.023,1,-33.9,1,0.0347,0.983,0.916,0.106,0.0776,118.96,3
6I1qp1q6iTtOCNUXfziWpn,"0HT4Y9hhNdkrCEE2tKokzO","Dreams of Us","Dreams of Us","William Cas",2022-08-31,145920,46,spotify:user:,2023-04-03T13:27:55Z,"background piano,neo-classical",0.335,0.0173,6,-26.267,1,0.0313,0.947,0.851,0.153,0.222,146.22,3
